,size,old,new
0,50,81.90507411956787,2.140731453895569
1,60,116.62476670742035,2.335429310798645
2,70,157.3912169933319,2.5478960275650024
3,80,197.15681421756744,2.7870153188705444
4,90,256.57484459877014,2.732677459716797
5,100,309.8898354768753,3.211297392845154
6,110,426.7602891921997,3.419280767440796
7,120,483.3772234916687,3.8819777965545654
8,130,513.8722764253616,4.010612845420837
9,140,560.961331486702,4.302261114120483
