size,time
100,70.95161056518555
200,137.12533736228943
300,207.40740599632264
400,274.38716397285464
500,346.1754024028778
600,412.63611187934873
700,485.8734220981598
800,537.7788818836212
900,605.7037927150726
1000,645.3763634681702
1100,706.6504859924316
1200,770.8346749782562
1300,840.8400468826294
1400,914.1455725669861
1500,971.2466655254364
1600,1004.5041069984436
1700,1124.9347945690156
1800,1195.2509870052338
1900,1281.544059562683
2000,1358.8075278759002
