size,time
100,0.7701530933380127
200,2.677853059768677
300,5.9447144031524655
400,10.252911138534547
500,17.34234766960144
600,23.66807770729065
700,30.72340030670166
800,47.74484586715698
900,54.98105640411377
1000,68.43614249229431
1100,85.29733891487122
1200,97.6126898765564
1300,127.13515014648438
1400,142.1898078918457
1500,161.6265046596527
1600,186.10592160224914
1700,212.05870594978333
1800,236.84303030967712
1900,266.56817803382876
2000,282.6620726108551
